# Loss curve from /home/ubuntu/fyh/megatron_output/gemma4_opt/p0_baseline_fsdp2/full_epoch/v0-20260425-045155/logging.jsonl
# 2354 steps, 2353 valid loss values
# elapsed: 4426s = 73.8min
# loss: first=1.9209  last=1.2576  min=0.2666  mean=1.2058
# NaN steps: 0

  step    elapsed      loss   grad_norm   mem_gib    tok/step  spark
   464       880s    1.2150     26.8750     76.61        1677  ▂
   465       883s    1.4419      4.0625     76.61        1280  ▃
   466       884s    0.8594      9.8125     76.61        1358  ▁
   467       885s    1.0239      7.1562     76.61         623  ▂
   468       887s    1.6898     12.3750     76.61        2983  ▄
   469       888s    0.8057     10.2500     76.61         745  ▁
   470       889s    1.5913     10.2500     76.61        1640  ▄
   471       890s    0.8232      5.0312     76.61         546  ▁
   472       890s    0.9092      5.7188     76.61         684  ▁
   473       894s    0.7388     36.2500     76.61         569  ▁
   474       896s    0.9629     10.6250     76.61        2006  ▂
   475       900s    1.5696      9.0000     76.61        1030  ▃
   476       902s    1.4626      5.8750     76.61        1113  ▃
   477       905s    1.3493      5.9375     76.61        5804  ▃
   478       909s    1.1807     47.0000     76.61       13818  ▂
